Date,02D001_Cl (ppm wt.),02D001_H2S (ppm wt.),02D001_Hydrogen Sulfide (ppm wt.),02D001_pH @25oC,02D001_Sulfide (ppm wt.),02D001_Total Iron (ppm),
19/12/2020,12.97,,,7.06,,,
20/12/2020,12.52,,,7.50,,,
21/12/2020,9.12,,,6.56,,1.27,
21/12/2020,,,,,,1.06,
22/12/2020,10.80,,,6.03,,,
22/12/2020,,,,,,0.70,
23/12/2020,9.80,,,7.49,,0.61,
24/12/2020,11.20,,,6.81,,,
25/12/2020,9.19,,,7.39,,,
26/12/2020,10.39,,,6.23,,,
27/12/2020,13.86,,,7.35,,0.36,
28/12/2020,14.54,,,6.08,,1.00,
30/12/2020,5.85,,,6.91,,0.24,
31/12/2020,9.76,,,6.83,,,
1/01/2021,10.10,,,7.20,,,
2/01/2021,2.63,,,6.95,,,
3/01/2021,8.41,,,7.14,,,
4/01/2021,6.40,,,8.14,,0.15,
5/01/2021,4.59,,,7.86,,,
6/01/2021,9.34,,,7.14,,0.44,
7/01/2021,8.18,,,8.27,,,
8/01/2021,8.87,,,7.10,,,
9/01/2021,8.61,,,7.56,,,
10/01/2021,8.68,,,6.89,,,
11/01/2021,9.68,,,7.77,,0.21,
12/01/2021,12.39,,,5.16,,,
13/01/2021,10.04,,,7.44,,1.14,
14/01/2021,8.29,,,8.18,,,
15/01/2021,9.80,,,7.85,,,
16/01/2021,27.44,,,6.45,,,
16/01/2021,3.95,,,10.12,,,
17/01/2021,4.99,,,7.99,,,
18/01/2021,1,1,,8.26,2.2,,
18/01/2021,1,,,8.03,,0.46,
19/01/2021,6.40,,,8.16,,,
20/01/2021,7.65,,,6.98,,1.15,
21/01/2021,7.29,,,6.87,,,
22/01/2021,11.18,,,6.23,,,
23/01/2021,8.44,,,6.33,,,
24/01/2021,11.35,,,7.09,,,
25/01/2021,10.50,,,5.60,,0.85,
26/01/2021,9.08,,,5.81,,,
27/01/2021,8.02,,,6.88,,0.31,
28/01/2021,8.74,,,6.64,,,
29/01/2021,1,,,8.16,,,
30/01/2021,1,,,8.81,,,
31/01/2021,8.43,,,6.25,,,
1/02/2021,10.30,1,,7.31,,0.53,
2/02/2021,11.00,,,6.31,,,
3/02/2021,8.01,1,,8.85,,0.02,
4/02/2021,7.77,,,6.48,,,
5/02/2021,8.75,,,7.61,,,
6/02/2021,6.28,,,7.22,,,
7/02/2021,2.45,,,7.75,,,
8/02/2021,7.84,1,,7.41,,0.51,
9/02/2021,15.39,,,6.75,,,
10/02/2021,1,1,,7.01,,0.35,
11/02/2021,8.32,,,7.51,,,
12/02/2021,7.29,,,7.54,,,
12/02/2021,7.29,,,,,0.57,
12/02/2021,8.70,,,,,0.41,
13/02/2021,2.27,,,8.03,,,
13/02/2021,,,,,,0.31,
13/02/2021,,,,,,2.19,
14/02/2021,1.27,,,7.01,,,
14/02/2021,17.78,,,5.58,,,
15/02/2021,2.19,1.8,,7.10,,1.99,
15/02/2021,,,,,,2.42,
16/02/2021,7.05,,,7.67,,,
17/02/2021,6.25,1,,8.12,,0.42,
17/02/2021,8.73,,,,,0.75,
18/02/2021,7.69,,,8.32,,,
18/02/2021,,,,,,0.15,
18/02/2021,9.69,,,,,0.82,
19/02/2021,9.08,,,9.32,,,
20/02/2021,7.05,,,7.94,,,
21/02/2021,10.83,,,8.41,,,
21/02/2021,,,,,,0.42,
22/02/2021,2.82,1,,7.69,,0.12,
23/02/2021,15.15,,,8.27,,,
24/02/2021,10.48,1.0,,6.40,,0.28,
25/02/2021,12.40,,,7.63,,,
26/02/2021,15.97,,,5.84,,,
26/02/2021,16.04,,,,,0.46,
26/02/2021,3.42,,,,,0.38,
27/02/2021,9.59,,,8.07,,,
27/02/2021,9.73,,,,,0.31,
27/02/2021,10.77,,,,,0.22,
28/02/2021,8.80,,,7.91,,,
28/02/2021,10.09,,,,,0.20,
28/02/2021,10.66,,,,,0.41,
1/03/2021,7.12,1,,8.03,,0.09,
2/03/2021,1,,,8.18,,,
3/03/2021,1,1,,7.61,,0.15,
4/03/2021,6.47,,,8.50,,,
5/03/2021,7.41,,,8.38,,,
6/03/2021,9.29,,,7.34,,,
6/03/2021,7.58,,,,,1.19,
7/03/2021,6.85,,,6.72,,,
7/03/2021,7.19,,,,,0.69,
7/03/2021,4.01,,,,,0.27,
8/03/2021,10.66,1,,7.76,,0.29,
8/03/2021,7.39,,,,,0.32,
9/03/2021,7.88,,,6.63,,,
9/03/2021,7.88,,,,,0.90,
9/03/2021,1.55,,,,,0.42,
10/03/2021,13.65,1,,7.62,,0.56,
10/03/2021,13.65,,,,,,
11/03/2021,8.30,,,7.31,,,
12/03/2021,1.89,,,7.42,,,
13/03/2021,9.49,,,7.49,,,
13/03/2021,,,,,,0.22,
13/03/2021,7.60,,,,,0.64,
14/03/2021,6.46,,,,,2.40,
14/03/2021,11.90,,,,,0.06,
15/03/2021,12.47,1,,8.35,,1.06,
15/03/2021,9.17,,,,,,
16/03/2021,12.52,,,6.55,,,
17/03/2021,8.99,1,,7.23,,0.41,
18/03/2021,11.41,,,8.25,,,
19/03/2021,9.89,,,7.31,,,
6/04/2021,14.02,,,7.16,,,
6/04/2021,14.28,,,,,0.71,
7/04/2021,12.32,1,,7.06,,0.90,
8/04/2021,11.43,,,7.85,,,
10/04/2021,3.58,,,7.02,,,
11/04/2021,2.16,,,6.92,,,
12/04/2021,10.08,1,,7.03,,1.95,
13/04/2021,10.69,,,7.30,,,
13/04/2021,,,,,,2.66,
13/04/2021,12.05,,,,,0.83,
14/04/2021,1.62,,,7.79,,,
15/04/2021,8.61,,,7.67,,,
16/04/2021,8.89,,,7.99,,,
17/04/2021,10.82,,,7.24,,,
18/04/2021,9.44,,,7.75,,,
19/04/2021,10.92,1,,6.98,,1.52,
20/04/2021,10.82,,,7.39,,,
21/04/2021,12.51,1,,5.89,,1.41,
22/04/2021,13.06,,,7.53,,,
23/04/2021,10.13,,,7.29,,,
24/04/2021,11.26,,,6.76,,,
25/04/2021,12.60,,,6.69,,,
26/04/2021,12.57,1,,7.70,,0.83,
27/04/2021,11.07,,,8.32,,,
28/04/2021,9.11,1,,8.16,,0.15,
29/04/2021,8.88,,,8.12,,,
30/04/2021,8.43,,,8.41,,,
1/05/2021,8.46,,,7.97,,,
2/05/2021,1,,,6.30,,,
3/05/2021,7.04,,,6.87,,,
4/05/2021,8.90,,,7.64,,,
5/05/2021,7.20,,,7.64,,0.42,
6/05/2021,1,,,8.10,,,
7/05/2021,2.53,,,7.88,,,
8/05/2021,6.29,,,8.08,,,
9/05/2021,1,,,7.96,,,
10/05/2021,5.78,1,,8.84,,0.12,
10/05/2021,5.78,,,,,0.12,
11/05/2021,9.88,,,8.62,,,
11/05/2021,,,,,,0.34,
12/05/2021,6.99,1,,7.96,,0.26,
13/05/2021,6.40,,,8.33,,,
14/05/2021,9.05,,,8.20,,,
15/05/2021,6.23,,,8.37,,,
16/05/2021,5.67,,,8.35,,,
17/05/2021,1.38,1,,8.16,,0.77,
18/05/2021,1,,,8.57,,,
19/05/2021,1,1,,8.19,,0.15,
20/05/2021,5.05,,,8.41,,,
23/05/2021,23.20,,,8.56,,,
23/05/2021,20.31,,,8.59,,0.68,
24/05/2021,1.02,1,,8.38,,0.17,
25/05/2021,1.73,,,8.67,,,
26/05/2021,1,,,8.50,,0.68,
27/05/2021,11.66,,,8.72,,,
28/05/2021,1,,,8.51,,,
30/05/2021,1.59,,,8.84,,,
31/05/2021,1,,,6.90,,,
31/05/2021,49.03,,,7.48,,0.72,
1/06/2021,44.65,,,8.47,,,
3/06/2021,6.88,,,8.31,,,
4/06/2021,1,,,7.87,,,
5/06/2021,1,,,8.21,,,
6/06/2021,7.66,,,8.29,,,
7/06/2021,6.24,,4.6,8.51,,0.09,
8/06/2021,6.68,,,8.15,,,
9/06/2021,6.98,,1,8.24,,1.04,
10/06/2021,7.28,,,8.26,,,
11/06/2021,8.15,,,7.32,,,
12/06/2021,7.42,,,7.88,,,
13/06/2021,9.26,,,7.46,,,
14/06/2021,9.30,,1,7.78,,0.44,
,,,,,,,
,,,,,,,
