Date,02D001_Cl (ppm wt.),02D001_H2S (ppm wt.),02D001_Hydrogen Sulfide (ppm wt.),02D001_pH @25oC,02D001_Sulfide (ppm wt.),02D001_Total Iron (ppm),
11/08/2018,4.19,,,8.29,,,
12/08/2018,7.29,,,8.25,,,
13/08/2018,7.99,,,7.59,,,
14/08/2018,8.28,,,8.24,,,
15/08/2018,7.90,,,8.03,,0.10,
16/08/2018,1,,,8.05,,,
17/08/2018,6.84,,,7.95,,,
18/08/2018,10.76,,,6.09,,,
19/08/2018,9.41,,,6.85,,,
20/08/2018,9.31,,,6.25,,0.93,
21/08/2018,9.72,,,7.49,,,
22/08/2018,7.81,,,7.65,,0.14,
23/08/2018,8.48,,,7.60,,,
24/08/2018,7.13,,,7.81,,,
25/08/2018,9.73,,,7.01,,,
26/08/2018,9.66,,,7.94,,,
27/08/2018,8.33,,,7.88,,0.13,
28/08/2018,6.70,,,8.04,,,
29/08/2018,1,,,7.95,,0.03,
30/08/2018,8.29,,,7.87,,,
31/08/2018,6.79,,,7.76,,,
1/09/2018,7.44,,,7.61,,,
2/09/2018,7.98,,,7.26,,,
3/09/2018,9.30,,,7.81,,0.07,
4/09/2018,1,,,7.77,,,
5/09/2018,1,,,7.89,,1.79,
6/09/2018,6.49,,,7.62,,,
7/09/2018,6.49,,,7.87,,,
8/09/2018,18.35,,,7.81,,,
8/09/2018,2.47,,,7.93,,,
9/09/2018,4.91,,,7.72,,,
10/09/2018,8.21,,,7.74,,0.14,
10/09/2018,,,,,,,
11/09/2018,6.74,,,7.81,,,
12/09/2018,1,,,7.51,,0.04,
13/09/2018,1,,,7.66,,,
14/09/2018,1,,,7.18,,,
15/09/2018,6.71,,,6.96,,,
16/09/2018,5.71,,,6.34,,,
17/09/2018,2.43,,,7.17,,0.31,
18/09/2018,9.47,,,7.29,,,
19/09/2018,1.85,,,7.18,,0.50,
20/09/2018,1,,,7.28,,,
21/09/2018,1,,,7.74,,,
22/09/2018,1,,,7.43,,,
23/09/2018,4.52,,,6.84,,,
24/09/2018,2.65,,,7.53,,0.07,
25/09/2018,1.03,,,6.76,,,
26/09/2018,4.83,,,7.36,,0.17,
27/09/2018,8.92,,,7.18,,,
28/09/2018,8.11,,,7.25,,,
29/09/2018,9.04,,,6.14,,,
30/09/2018,6.95,,,7.21,,,
1/10/2018,2.15,,,7.44,,0.23,
2/10/2018,5.99,,,6.77,,,
3/10/2018,8.06,,,6.76,,0.48,
4/10/2018,6.83,,,6.75,,,
5/10/2018,7.92,,,7.10,,,
6/10/2018,7.58,,,7.30,,,
7/10/2018,5.98,,,7.73,,,
8/10/2018,10.02,,,7.85,,1.28,
9/10/2018,8.05,,,7.98,,,
10/10/2018,1.96,,,7.24,,0.38,
11/10/2018,7.72,,,7.62,,,
12/10/2018,1.21,,,8.35,,,
13/10/2018,1,,,7.73,,,
14/10/2018,7.28,,,8.15,,,
15/10/2018,5.09,,,8.07,,,
16/10/2018,1.03,,,7.58,,,
17/10/2018,1,,,7.51,,0.02,
18/10/2018,5.69,,,7.16,,,
19/10/2018,1,,,7.12,,,
20/10/2018,5.72,,,6.98,,,
21/10/2018,12.61,,,5.88,,,
21/10/2018,13.84,,,,,,
21/10/2018,14.73,,,,,,
22/10/2018,6.46,,,8.48,,0.06,
23/10/2018,5.45,,,7.28,,,
24/10/2018,1,,,7.39,,0.08,
25/10/2018,1.38,,,7.52,,,
26/10/2018,1,,,7.07,,,
27/10/2018,12.44,,,6.22,,,
27/10/2018,9.60,,,,,,
28/10/2018,1,,,5.72,,,
29/10/2018,23.16,,,7.12,,0.07,
29/10/2018,25.83,,,,,,
30/10/2018,17.98,,,7.12,,,
30/10/2018,15.92,,,,,,
31/10/2018,1,,,7.36,,0.02,
1/11/2018,35.09,,,8.50,,,
1/11/2018,50.29,,,7.65,,,
2/11/2018,29.89,,,7.66,,,
2/11/2018,,,,,,0.02,
3/11/2018,1.28,,,6.42,,,
4/11/2018,7.70,,,7.32,,,
5/11/2018,6.64,,,7.71,,0.03,
6/11/2018,6.57,,,7.60,,,
7/11/2018,6.10,,,7.40,,0.03,
8/11/2018,7.11,,,7.51,,,
9/11/2018,5.86,,,7.13,,,
10/11/2018,1.08,,,5.80,,,
11/11/2018,10.77,,,6.79,,,
12/11/2018,5.61,,,7.20,,0.09,
13/11/2018,1,,,7.56,,,
14/11/2018,1,,,7.09,,0.06,
15/11/2018,1,,,7.39,,,
16/11/2018,6.15,,,7.36,,,
17/11/2018,1.76,,,8.10,,,
18/11/2018,4.56,,,6.71,,,
19/11/2018,1,,,6.98,,0.15,
20/11/2018,3.95,,,6.96,,,
21/11/2018,11.41,,,6.55,,0.54,
22/11/2018,12.78,,,6.58,,,
22/11/2018,12.83,,,,,,
23/11/2018,11.92,,,6.97,,,
23/11/2018,1,,,,,,
24/11/2018,11.65,,,7.03,,,
24/11/2018,16.50,,,6.89,,,
25/11/2018,12.22,,,6.87,,,
25/11/2018,13.45,,,7.17,,,
26/11/2018,18.31,,,7.23,,0.11,
27/11/2018,12.85,,,7.15,,,
28/11/2018,1.36,,,7.40,,0.13,
29/11/2018,14.12,,,7.39,,,
30/11/2018,15.04,,,7.43,,,
30/11/2018,15.84,,,,,,
1/12/2018,15.33,,,7.61,,,
1/12/2018,14.96,,,,,,
2/12/2018,14.49,,,,,,
2/12/2018,24.08,,,7.24,,,
2/12/2018,14.56,,,7.54,,,
3/12/2018,16.29,,,7.62,,0.07,
4/12/2018,16.15,,,7.71,,,
5/12/2018,15.37,,,7.78,,,
6/12/2018,9.44,,,7.50,,,
7/12/2018,15.78,,,7.07,,,
8/12/2018,33.12,,,7.09,,,
8/12/2018,12.89,,,,,,
9/12/2018,1,,,7.00,,,
10/12/2018,12.17,,,6.82,,,
10/12/2018,11.54,,,6.94,,,
11/12/2018,12.51,,,6.98,,,
12/12/2018,23.55,,,6.66,,0.75,
13/12/2018,59.75,,,7.10,,,
13/12/2018,,,,,,0.74,
14/12/2018,14.53,,,8.28,,,
15/12/2018,10.66,,,7.81,,,
16/12/2018,10.27,,,7.57,,,
16/12/2018,9.99,,,,,,
17/12/2018,9.31,,,7.56,,0.57,
18/12/2018,8.49,,,7.38,,,
19/12/2018,9.91,,,7.34,,0.25,
20/12/2018,17.70,,,4.40,,,
20/12/2018,19.02,,,,,,
21/12/2018,16.52,,,6.28,,,
22/12/2018,17.80,,,6.92,,,
22/12/2018,18.47,,,,,,
23/12/2018,18.37,,,6.85,,,
23/12/2018,,,,,,0.38,
24/12/2018,18.42,,,7.37,,0.17,
24/12/2018,18.69,,,,,,
25/12/2018,17.62,,,7.51,,,
25/12/2018,9.29,,,7.48,,,
26/12/2018,13.37,,,7.05,,0.52,
26/12/2018,12.47,,,,,,
27/12/2018,17.88,,,4.47,,,
28/12/2018,9.39,,,7.74,,,
28/12/2018,,,,,,0.10,
29/12/2018,8.01,,,8.85,,,
30/12/2018,3.57,,,7.73,,,
31/12/2018,9.75,,,4.65,,2.39,
31/12/2018,,,,6.46,,1.65,
1/01/2019,11.46,,,7.02,,,
1/01/2019,10.58,,,,,,
2/01/2019,11.85,,,6.88,,0.52,
3/01/2019,11.56,,,7.16,,,
3/01/2019,12.30,,,6.39,,,
4/01/2019,14.26,,,6.10,,,
5/01/2019,3.35,,,,,,
5/01/2019,11.41,,,6.30,,,
6/01/2019,19.29,,,6.00,,,
6/01/2019,14.60,,,5.05,,9.87,
6/01/2019,16.17,,,,,2.37,
7/01/2019,13.05,,,8.36,,0.04,
7/01/2019,10.37,,,,,,
8/01/2019,12.52,,,7.91,,,
9/01/2019,15.62,,,7.80,,0.22,
9/01/2019,12.08,,,,,,
10/01/2019,9.15,,,8.11,,,
10/01/2019,12.18,,,,,,
11/01/2019,13.38,,,7.65,,,
12/01/2019,10.20,,,7.07,,,
13/01/2019,10.53,,,6.82,,,
14/01/2019,16.18,,,6.92,,0.73,
15/01/2019,12.60,,,6.59,,,
16/01/2019,8.99,,,6.74,,1.40,
17/01/2019,11.26,,,6.85,,,
17/01/2019,9.10,,,,,0.31,
18/01/2019,12.75,,,7.02,,,
18/01/2019,11.67,,,,,,
19/01/2019,44.55,,,4.00,,,
19/01/2019,50.64,,,7.06,,,
19/01/2019,56.24,,,7.29,,,
20/01/2019,1,,,7.36,,,
