Date,02D002_Cl (ppm wt.),02D002_H2S (ppm wt.),02D002_pH @25oC,02D002_Sulfide (ppm wt.),,,,,,,,,
9/6/20,1,,7.82,,,,,,,,,,
11/6/20,1,,5.95,,,,,,,,,,
16/6/20,1,,6.81,,,,,,,,,,
18/6/20,1,,6.19,,,,,,,,,,
23/6/20,7.83,,6.68,,,,,,,,,,
25/6/20,1,,6.60,,,,,,,,,,
30/6/20,1,,6.66,,,,,,,,,,
2/7/20,1,,6.93,,,,,,,,,,
7/7/20,1,,6.16,,,,,,,,,,
9/7/20,1,,6.31,,,,,,,,,,
14/7/20,2.94,,5.22,,,,,,,,,,
16/7/20,1,,6.23,,,,,,,,,,
21/7/20,1,,7.13,,,,,,,,,,
23/7/20,1,,8.79,,,,,,,,,,
30/7/20,1,,6.93,,,,,,,,,,
4/8/20,1,,7.18,,,,,,,,,,
6/8/20,1,,6.09,,,,,,,,,,
11/8/20,1,,7.19,,,,,,,,,,
13/8/20,1,,6.96,,,,,,,,,,
18/8/20,1,,7.61,,,,,,,,,,
20/8/20,1,,6.87,,,,,,,,,,
25/8/20,1,,6.87,,,,,,,,,,
27/8/20,1,,8.71,,,,,,,,,,
1/9/20,1.54,,6.78,,,,,,,,,,
3/9/20,10.16,,7.41,,,,,,,,,,
8/9/20,1.37,,6.62,,,,,,,,,,
10/9/20,1,,6.30,,,,,,,,,,
15/9/20,1,,7.43,,,,,,,,,,
17/9/20,1,,6.79,,,,,,,,,,
22/9/20,1.79,,6.88,,,,,,,,,,
24/9/20,1,,4.18,,,,,,,,,,
29/9/20,1.68,,5.14,,,,,,,,,,
1/10/20,1,,6.79,,,,,,,,,,
6/10/20,1,,5.38,,,,,,,,,,
8/10/20,1,,7.55,,,,,,,,,,
15/10/20,1,,6.73,,,,,,,,,,
20/10/20,3.05,,6.79,,,,,,,,,,
22/10/20,1,,7.43,,,,,,,,,,
27/10/20,1,,5.38,,,,,,,,,,
29/10/20,1,,5.94,,,,,,,,,,
1/11/20,,,4.34,,,,,,,,,,
3/11/20,1,,7.12,,,,,,,,,,
5/11/20,1,,6.00,,,,,,,,,,
10/11/20,1.99,,6.72,,,,,,,,,,
12/11/20,1,,6.67,,,,,,,,,,
17/11/20,1.51,,6.36,,,,,,,,,,
19/11/20,1,,6.26,,,,,,,,,,
26/11/20,1,,6.44,,,,,,,,,,
1/12/20,1,,6.52,,,,,,,,,,
3/12/20,1.04,,5.49,,,,,,,,,,
8/12/20,1.10,,5.82,,,,,,,,,,
10/12/20,1.07,,6.32,,,,,,,,,,
15/12/20,1.46,,5.56,,,,,,,,,,
17/12/20,1,5.8,6.12,,,,,,,,,,
17/12/20,1.56,,6.11,,,,,,,,,,
22/12/20,1.95,,6.84,,,,,,,,,,
24/12/20,1,,6.35,,,,,,,,,,
5/1/21,1,,6.10,,,,,,,,,,
7/1/21,1,,6.95,,,,,,,,,,
12/1/21,1,,4.77,,,,,,,,,,
14/1/21,1,,7.63,,,,,,,,,,
18/1/21,1,2.9,6.84,6.9,,,,,,,,,
19/1/21,1,,6.87,,,,,,,,,,
21/1/21,1,,6.60,,,,,,,,,,
26/1/21,1,,5.79,,,,,,,,,,
28/1/21,1,,5.62,,,,,,,,,,
2/2/21,1.22,1.5,6.29,,,,,,,,,,
4/2/21,1.10,1.2,6.30,,,,,,,,,,
9/2/21,1,3.0,6.70,,,,,,,,,,
