Date,02D001_Cl,02D001_H2S,02D001_Hydrogen Sulfide,02D001_pH,02D001_Sulfide,02D001_Total_Iron
16/06/2018,8.29,0,0,7.37,0,0
17/06/2018,7.65,0,0,7.1,0,0
18/06/2018,9.11,0,0,6.99,0,0.5
19/06/2018,8.43,0,0,6.98,0,0
20/06/2018,8.28,0,0,7.46,0,0.09
21/06/2018,7.91,0,0,7.26,0,0
22/06/2018,9.66,0,0,7.39,0,0
23/06/2018,10.71,0,0,6.61,0,0
24/06/2018,4.15,0,0,6.79,0,0
25/06/2018,6.31,0,0,6.71,0,0.84
26/06/2018,6.49,0,0,6.81,0,0
27/06/2018,1,0,0,7.04,0,0.13
28/06/2018,1.08,0,0,6.97,0,0
29/06/2018,8.3,0,0,7.04,0,0
30/06/2018,8.82,0,0,7.14,0,0
1/7/2018,7.88,0,0,7.22,0,0
2/7/2018,8.75,0,0,7.06,0,0.26
3/7/2018,19.61,0,0,7.92,0,0
3/7/2018,17.21,0,0,7.96,0,0
4/7/2018,9.4,0,0,7.89,0,0.04
5/7/2018,12.68,0,0,6.9,0,0
6/7/2018,22.36,0,0,6.71,0,0
7/7/2018,10.5,0,0,7.08,0,0
8/7/2018,10.63,0,0,7.12,0,0
9/7/2018,1,0,0,7.11,0,0.29
10/7/2018,10.94,0,0,7.17,0,0
11/7/2018,11.28,0,0,6.93,0,0.41
12/7/2018,11.16,0,0,6.68,0,0
13/07/2018,13.56,0,0,6.56,0,0
14/07/2018,15.43,0,0,6.67,0,0
15/07/2018,18.19,0,0,6.24,0,0
15/07/2018,17.44,0,0,0,0,0
16/07/2018,22.18,0,0,6.58,0,0.61
17/07/2018,20.26,0,0,7.18,0,0
17/07/2018,7.98,0,0,0,0,0
18/07/2018,6.77,0,0,7.41,0,2.4
18/07/2018,0,0,0,0,0,1.66
19/07/2018,8.45,0,0,7.08,0,0
20/07/2018,7.63,0,0,7.1,0,0
21/07/2018,10.41,0,0,6.65,0,0
22/07/2018,10.3,0,0,6.69,0,0
22/07/2018,7.38,0,0,6.45,0,0
23/07/2018,13.21,0,0,6.46,0,1.44
24/07/2018,16.29,0,0,6.65,0,0
24/07/2018,7.4,0,0,6.87,0,0
25/07/2018,7.04,0,0,7.02,0,1.73
26/07/2018,1,0,0,7.17,0,0
27/07/2018,6.57,0,0,6.54,0,0
28/07/2018,10.35,0,0,7.3,0,0
29/07/2018,11.04,0,0,6.64,0,0
30/07/2018,7.43,0,0,6.89,0,0.43
31/07/2018,7.2,0,0,6.85,0,0
1/8/2018,9.33,0,0,6.67,0,0.73
2/8/2018,8.12,0,0,6.76,0,0
3/8/2018,8.55,0,0,7.18,0,0
4/8/2018,7.75,0,0,7.14,0,0
5/8/2018,4.03,0,0,7.07,0,0
6/8/2018,8.09,0,0,6.69,0,0.98
7/8/2018,8.75,0,0,6.62,0,0
8/8/2018,10.5,0,0,6.49,0,0.84
9/8/2018,8.41,0,0,7.27,0,0
10/8/2018,5.08,0,0,8.48,0,0
11/8/2018,4.19,0,0,8.29,0,0
12/8/2018,7.29,0,0,8.25,0,0
13/08/2018,7.99,0,0,7.59,0,0
14/08/2018,8.28,0,0,8.24,0,0
15/08/2018,7.9,0,0,8.03,0,0.1
16/08/2018,1,0,0,8.05,0,0
17/08/2018,6.84,0,0,7.95,0,0
18/08/2018,10.76,0,0,6.09,0,0
19/08/2018,9.41,0,0,6.85,0,0
20/08/2018,9.31,0,0,6.25,0,0.93
21/08/2018,9.72,0,0,7.49,0,0
22/08/2018,7.81,0,0,7.65,0,0.14
23/08/2018,8.48,0,0,7.6,0,0
